session,chamber,number,type,section,Cosponsr,IntrDate,Title,NameFull,major_topic_label,party_name
107,HR,1200,IH,36,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,37,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,38,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,39,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,40,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,41,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,42,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,43,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,44,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,45,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,46,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,47,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,48,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,49,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,50,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,51,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,52,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,53,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,54,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,55,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,56,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,57,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,58,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,59,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,60,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,61,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,62,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,63,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,64,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,65,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,66,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,67,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1200,IH,68,28,2001-03-22,To provide for health care for every American and to control the cost and enhance the quality of the health care system.,Jim McDermott,Health,Democrat
107,HR,1201,IH,1,49,2001-03-22,To amend the Head Start Act to ensure that every child who is eligible to participate in a program under such Act has the tools to learn to read.,Adam Schiff,Education,Democrat
107,HR,1201,IH,2,49,2001-03-22,To amend the Head Start Act to ensure that every child who is eligible to participate in a program under such Act has the tools to learn to read.,Adam Schiff,Education,Democrat
107,HR,1201,IH,3,49,2001-03-22,To amend the Head Start Act to ensure that every child who is eligible to participate in a program under such Act has the tools to learn to read.,Adam Schiff,Education,Democrat
107,HR,1201,IH,4,49,2001-03-22,To amend the Head Start Act to ensure that every child who is eligible to participate in a program under such Act has the tools to learn to read.,Adam Schiff,Education,Democrat
107,HR,1201,IH,5,49,2001-03-22,To amend the Head Start Act to ensure that every child who is eligible to participate in a program under such Act has the tools to learn to read.,Adam Schiff,Education,Democrat
107,HR,1201,IH,6,49,2001-03-22,To amend the Head Start Act to ensure that every child who is eligible to participate in a program under such Act has the tools to learn to read.,Adam Schiff,Education,Democrat
107,HR,1201,IH,7,49,2001-03-22,To amend the Head Start Act to ensure that every child who is eligible to participate in a program under such Act has the tools to learn to read.,Adam Schiff,Education,Democrat
107,HR,1201,IH,8,49,2001-03-22,To amend the Head Start Act to ensure that every child who is eligible to participate in a program under such Act has the tools to learn to read.,Adam Schiff,Education,Democrat
107,HR,1202,IH,1,129,2001-03-22,To amend title XVIII of the Social Security Act to provide for coverage of annual screening pap smears and screening pelvic exams under the Medicare Program.,E. Shaw,Health,Republican
107,HR,1202,IH,2,129,2001-03-22,To amend title XVIII of the Social Security Act to provide for coverage of annual screening pap smears and screening pelvic exams under the Medicare Program.,E. Shaw,Health,Republican
107,HR,1203,IH,1,6,2001-03-22,"To amend chapter 3 of title 28, United States Code, to divide the Ninth Judicial Circuit of the United States into two circuits, and for other purposes.",Michael Simpson,Law_and_Crime,Republican
107,HR,1203,IH,2,6,2001-03-22,"To amend chapter 3 of title 28, United States Code, to divide the Ninth Judicial Circuit of the United States into two circuits, and for other purposes.",Michael Simpson,Law_and_Crime,Republican
107,HR,1203,IH,3,6,2001-03-22,"To amend chapter 3 of title 28, United States Code, to divide the Ninth Judicial Circuit of the United States into two circuits, and for other purposes.",Michael Simpson,Law_and_Crime,Republican
107,HR,1203,IH,4,6,2001-03-22,"To amend chapter 3 of title 28, United States Code, to divide the Ninth Judicial Circuit of the United States into two circuits, and for other purposes.",Michael Simpson,Law_and_Crime,Republican
107,HR,1203,IH,5,6,2001-03-22,"To amend chapter 3 of title 28, United States Code, to divide the Ninth Judicial Circuit of the United States into two circuits, and for other purposes.",Michael Simpson,Law_and_Crime,Republican
107,HR,1203,IH,6,6,2001-03-22,"To amend chapter 3 of title 28, United States Code, to divide the Ninth Judicial Circuit of the United States into two circuits, and for other purposes.",Michael Simpson,Law_and_Crime,Republican
107,HR,1203,IH,7,6,2001-03-22,"To amend chapter 3 of title 28, United States Code, to divide the Ninth Judicial Circuit of the United States into two circuits, and for other purposes.",Michael Simpson,Law_and_Crime,Republican
107,HR,1203,IH,8,6,2001-03-22,"To amend chapter 3 of title 28, United States Code, to divide the Ninth Judicial Circuit of the United States into two circuits, and for other purposes.",Michael Simpson,Law_and_Crime,Republican
